Undergraduate Major,Starting Median Salary,Mid-Career Median Salary,Percent change from Starting to Mid-Career Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Accounting,"46,000.00","77,100.00",67.6,"42,200.00",56100,"1,08,000.00","1,52,000.00"
Aerospace Engineering,"57,700.00","1,01,000.00",75,"64,300.00",82100,"1,27,000.00","1,61,000.00"
Agriculture,"42,600.00","71,900.00",68.8,"36,300.00",52100,"96,300.00","1,50,000.00"
Anthropology,"36,800.00","61,500.00",67.1,"33,800.00",45500,"89,300.00","1,38,000.00"
Architecture,"41,600.00","76,800.00",84.6,"50,600.00",62200,"97,000.00","1,36,000.00"
Art History,"35,800.00","64,900.00",81.3,"28,800.00",42200,"87,400.00","1,25,000.00"
Biology,"38,800.00","64,800.00",67,"36,900.00",47400,"94,500.00","1,35,000.00"
Business Management,"43,000.00","72,100.00",67.7,"38,800.00",51500,"1,02,000.00","1,47,000.00"
Chemical Engineering,"63,200.00","1,07,000.00",69.3,"71,900.00",87300,"1,43,000.00","1,94,000.00"
Chemistry,"42,600.00","79,900.00",87.6,"45,300.00",60700,"1,08,000.00","1,48,000.00"
Civil Engineering,"53,900.00","90,500.00",67.9,"63,400.00",75100,"1,15,000.00","1,48,000.00"
Communications,"38,100.00","70,000.00",83.7,"37,500.00",49700,"98,800.00","1,43,000.00"
Computer Engineering,"61,400.00","1,05,000.00",71,"66,100.00",84100,"1,35,000.00","1,62,000.00"
Computer Science,"55,900.00","95,500.00",70.8,"56,000.00",74900,"1,22,000.00","1,54,000.00"
Construction,"53,700.00","88,900.00",65.5,"56,300.00",68100,"1,18,000.00","1,71,000.00"
Criminal Justice,"35,000.00","56,300.00",60.9,"32,200.00",41600,"80,700.00","1,07,000.00"
Drama,"35,900.00","56,900.00",58.5,"36,700.00",41300,"79,100.00","1,53,000.00"
Economics,"50,100.00","98,600.00",96.8,"50,600.00",70600,"1,45,000.00","2,10,000.00"
Education,"34,900.00","52,000.00",49,"29,300.00",37900,"73,400.00","1,02,000.00"
Electrical Engineering,"60,900.00","1,03,000.00",69.1,"69,300.00",83800,"1,30,000.00","1,68,000.00"
English,"38,000.00","64,700.00",70.3,"33,400.00",44800,"93,200.00","1,33,000.00"
Film,"37,900.00","68,500.00",80.7,"33,900.00",45500,"1,00,000.00","1,36,000.00"
Finance,"47,900.00","88,300.00",84.3,"47,200.00",62100,"1,28,000.00","1,95,000.00"
Forestry,"39,100.00","62,600.00",60.1,"41,000.00",49300,"78,200.00","1,11,000.00"
Geography,"41,200.00","65,500.00",59,"40,000.00",50000,"90,800.00","1,32,000.00"
Geology,"43,500.00","79,500.00",82.8,"45,000.00",59600,"1,01,000.00","1,56,000.00"
Graphic Design,"35,700.00","59,800.00",67.5,"36,000.00",45500,"80,800.00","1,12,000.00"
Health Care Administration,"38,800.00","60,600.00",56.2,"34,600.00",45600,"78,800.00","1,01,000.00"
History,"39,200.00","71,000.00",81.1,"37,000.00",49200,"1,03,000.00","1,49,000.00"
Hospitality & Tourism,"37,800.00","57,500.00",52.1,"35,500.00",43600,"81,900.00","1,24,000.00"
Industrial Engineering,"57,700.00","94,700.00",64.1,"57,100.00",72300,"1,32,000.00","1,73,000.00"
Information Technology (IT),"49,100.00","74,800.00",52.3,"44,500.00",56700,"96,700.00","1,29,000.00"
Interior Design,"36,100.00","53,200.00",47.4,"35,700.00",42600,"72,500.00","1,07,000.00"
International Relations,"40,900.00","80,900.00",97.8,"38,200.00",56000,"1,11,000.00","1,57,000.00"
Journalism,"35,600.00","66,700.00",87.4,"38,400.00",48300,"97,700.00","1,45,000.00"
Management Information Systems (MIS),"49,200.00","82,300.00",67.3,"45,300.00",60500,"1,08,000.00","1,46,000.00"
Marketing,"40,800.00","79,600.00",95.1,"42,100.00",55600,"1,19,000.00","1,75,000.00"
Math,"45,400.00","92,400.00",103.5,"45,200.00",64200,"1,28,000.00","1,83,000.00"
Mechanical Engineering,"57,900.00","93,600.00",61.7,"63,700.00",76200,"1,20,000.00","1,63,000.00"
Music,"35,900.00","55,000.00",53.2,"26,700.00",40200,"88,000.00","1,34,000.00"
Nursing,"54,200.00","67,000.00",23.6,"47,600.00",56400,"80,900.00","98,300.00"
Nutrition,"39,900.00","55,300.00",38.6,"33,900.00",44500,"70,500.00","99,200.00"
Philosophy,"39,900.00","81,200.00",103.5,"35,500.00",52800,"1,27,000.00","1,68,000.00"
Physician Assistant,"74,300.00","91,700.00",23.4,"66,400.00",75200,"1,08,000.00","1,24,000.00"
Physics,"50,300.00","97,300.00",93.4,"56,000.00",74200,"1,32,000.00","1,78,000.00"
Political Science,"40,800.00","78,200.00",91.7,"41,200.00",55300,"1,14,000.00","1,68,000.00"
Psychology,"35,900.00","60,400.00",68.2,"31,600.00",42100,"87,500.00","1,27,000.00"
Religion,"34,100.00","52,000.00",52.5,"29,700.00",36500,"70,900.00","96,400.00"
Sociology,"36,500.00","58,200.00",59.5,"30,700.00",40400,"81,200.00","1,18,000.00"
Spanish,"34,000.00","53,100.00",56.2,"31,000.00",40000,"76,800.00","96,400.00"
